,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
CP4,0.016493366798135532,0.016851918250268914,0.016851918250268914,0.016493366798135532,0.016493366798135532,0.016851918250268914,0.016851918250268914,0.01613481534600215,0.016851918250268914,0.016493366798135532,0.01613481534600215,0.016493366798135532,0.016851918250268914,0.016493366798135532,0.016851918250268914,0.016493366798135532,0.016851918250268914,0.0,0.01613481534600215,0.016851918250268914,0.016493366798135532,0.016851918250268914,0.016851918250268914,0.016851918250268914,0.016493366798135532,0.016851918250268914,0.016851918250268914,0.016851918250268914,0.01613481534600215,0.016851918250268914,0.016851918250268914,0.016493366798135532,0.015059160989602008,0.016851918250268914,0.016493366798135532,0.016851918250268914,0.016851918250268914,0.016851918250268914,0.016493366798135532,0.016851918250268914,0.016851918250268914,0.016851918250268914,0.016851918250268914,0.016493366798135532,0.016851918250268914,0.016493366798135532,0.016851918250268914,0.016851918250268914,0.016851918250268914,0.016851918250268914,0.016493366798135532,0.016851918250268914,0.016851918250268914,0.016851918250268914,0.016851918250268914,0.016851918250268914,0.016851918250268914,0.016851918250268914,0.016493366798135532,0.016493366798135532,0.016493366798135532
TP8,0.016440314510364547,0.017155110793423873,0.017155110793423873,0.016440314510364547,0.016440314510364547,0.017155110793423873,0.017155110793423873,0.016082916368834882,0.01679771265189421,0.016440314510364547,0.016082916368834882,0.016440314510364547,0.01679771265189421,0.016440314510364547,0.01679771265189421,0.016440314510364547,0.01679771265189421,0.0,0.016082916368834882,0.01679771265189421,0.016440314510364547,0.01679771265189421,0.01679771265189421,0.01679771265189421,0.016440314510364547,0.01679771265189421,0.01679771265189421,0.01679771265189421,0.016082916368834882,0.01679771265189421,0.01679771265189421,0.016440314510364547,0.01501072194424589,0.01679771265189421,0.016440314510364547,0.017155110793423873,0.01679771265189421,0.01679771265189421,0.016440314510364547,0.01679771265189421,0.017155110793423873,0.01679771265189421,0.01679771265189421,0.016440314510364547,0.01679771265189421,0.016440314510364547,0.01679771265189421,0.01679771265189421,0.017155110793423873,0.01679771265189421,0.016440314510364547,0.01679771265189421,0.01679771265189421,0.01679771265189421,0.01679771265189421,0.017155110793423873,0.01679771265189421,0.017155110793423873,0.016440314510364547,0.016440314510364547,0.016440314510364547
C6,0.016473887136347704,0.01717490361023484,0.01717490361023484,0.016473887136347704,0.016473887136347704,0.01717490361023484,0.01717490361023484,0.015772870662460567,0.016824395373291272,0.016473887136347704,0.015772870662460567,0.016473887136347704,0.016824395373291272,0.016473887136347704,0.016824395373291272,0.016473887136347704,0.016824395373291272,0.0,0.015772870662460567,0.016824395373291272,0.016473887136347704,0.016824395373291272,0.016824395373291272,0.016824395373291272,0.016473887136347704,0.016824395373291272,0.016824395373291272,0.016824395373291272,0.015772870662460567,0.016824395373291272,0.016824395373291272,0.016473887136347704,0.014721345951629864,0.016824395373291272,0.016473887136347704,0.01717490361023484,0.016824395373291272,0.016824395373291272,0.016473887136347704,0.016824395373291272,0.01717490361023484,0.016824395373291272,0.016824395373291272,0.016473887136347704,0.016824395373291272,0.016473887136347704,0.016824395373291272,0.016824395373291272,0.01717490361023484,0.016824395373291272,0.016473887136347704,0.016824395373291272,0.016824395373291272,0.016824395373291272,0.016824395373291272,0.01717490361023484,0.016824395373291272,0.01717490361023484,0.016473887136347704,0.016473887136347704,0.016473887136347704
C2,0.016473887136347704,0.01717490361023484,0.01717490361023484,0.016473887136347704,0.016473887136347704,0.01717490361023484,0.01717490361023484,0.015772870662460567,0.016824395373291272,0.016473887136347704,0.015772870662460567,0.016473887136347704,0.016824395373291272,0.016473887136347704,0.016824395373291272,0.016473887136347704,0.016824395373291272,0.0,0.015772870662460567,0.016824395373291272,0.016473887136347704,0.016824395373291272,0.016824395373291272,0.016824395373291272,0.016473887136347704,0.016824395373291272,0.016824395373291272,0.016824395373291272,0.015772870662460567,0.016824395373291272,0.016824395373291272,0.016473887136347704,0.014721345951629864,0.016824395373291272,0.016473887136347704,0.01717490361023484,0.016824395373291272,0.016824395373291272,0.016473887136347704,0.016824395373291272,0.01717490361023484,0.016824395373291272,0.016824395373291272,0.016473887136347704,0.016824395373291272,0.016473887136347704,0.016824395373291272,0.016824395373291272,0.01717490361023484,0.016824395373291272,0.016473887136347704,0.016824395373291272,0.016824395373291272,0.016824395373291272,0.016824395373291272,0.01717490361023484,0.016824395373291272,0.01717490361023484,0.016473887136347704,0.016473887136347704,0.016473887136347704
FC4,0.016440314510364547,0.017155110793423873,0.017155110793423873,0.016440314510364547,0.016440314510364547,0.017155110793423873,0.017155110793423873,0.016082916368834882,0.01679771265189421,0.016440314510364547,0.016082916368834882,0.016440314510364547,0.01679771265189421,0.016440314510364547,0.01679771265189421,0.016440314510364547,0.01679771265189421,0.0,0.016082916368834882,0.01679771265189421,0.016440314510364547,0.01679771265189421,0.01679771265189421,0.01679771265189421,0.016440314510364547,0.01679771265189421,0.01679771265189421,0.01679771265189421,0.016082916368834882,0.01679771265189421,0.01679771265189421,0.016440314510364547,0.01501072194424589,0.01679771265189421,0.016440314510364547,0.017155110793423873,0.01679771265189421,0.01679771265189421,0.016440314510364547,0.01679771265189421,0.017155110793423873,0.01679771265189421,0.01679771265189421,0.016440314510364547,0.01679771265189421,0.016440314510364547,0.01679771265189421,0.01679771265189421,0.017155110793423873,0.01679771265189421,0.016440314510364547,0.01679771265189421,0.01679771265189421,0.01679771265189421,0.01679771265189421,0.017155110793423873,0.01679771265189421,0.017155110793423873,0.016440314510364547,0.016440314510364547,0.016440314510364547
FT8,0.016285516285516284,0.017325017325017324,0.017325017325017324,0.016285516285516284,0.016285516285516284,0.017325017325017324,0.017325017325017324,0.015592515592515593,0.01697851697851698,0.016285516285516284,0.015592515592515593,0.016285516285516284,0.01697851697851698,0.016285516285516284,0.016632016632016633,0.016285516285516284,0.01697851697851698,0.0,0.015592515592515593,0.01697851697851698,0.016285516285516284,0.01697851697851698,0.01697851697851698,0.01697851697851698,0.016285516285516284,0.01697851697851698,0.01697851697851698,0.01697851697851698,0.015592515592515593,0.01697851697851698,0.01697851697851698,0.016285516285516284,0.014553014553014554,0.01697851697851698,0.016285516285516284,0.017325017325017324,0.01697851697851698,0.016632016632016633,0.016285516285516284,0.01697851697851698,0.017325017325017324,0.01697851697851698,0.01697851697851698,0.016285516285516284,0.01697851697851698,0.016285516285516284,0.01697851697851698,0.01697851697851698,0.017325017325017324,0.01697851697851698,0.016285516285516284,0.016632016632016633,0.01697851697851698,0.01697851697851698,0.016632016632016633,0.017325017325017324,0.01697851697851698,0.017325017325017324,0.016285516285516284,0.016285516285516284,0.016285516285516284
F6,0.016473887136347704,0.01717490361023484,0.01717490361023484,0.016473887136347704,0.016473887136347704,0.01717490361023484,0.01717490361023484,0.015772870662460567,0.016824395373291272,0.016473887136347704,0.015772870662460567,0.016473887136347704,0.016824395373291272,0.016473887136347704,0.016824395373291272,0.016473887136347704,0.016824395373291272,0.0,0.015772870662460567,0.016824395373291272,0.016473887136347704,0.016824395373291272,0.016824395373291272,0.016824395373291272,0.016473887136347704,0.016824395373291272,0.016824395373291272,0.016824395373291272,0.015772870662460567,0.016824395373291272,0.016824395373291272,0.016473887136347704,0.014721345951629864,0.016824395373291272,0.016473887136347704,0.01717490361023484,0.016824395373291272,0.016824395373291272,0.016473887136347704,0.016824395373291272,0.01717490361023484,0.016824395373291272,0.016824395373291272,0.016473887136347704,0.016824395373291272,0.016473887136347704,0.016824395373291272,0.016824395373291272,0.01717490361023484,0.016824395373291272,0.016473887136347704,0.016824395373291272,0.016824395373291272,0.016824395373291272,0.016824395373291272,0.01717490361023484,0.016824395373291272,0.01717490361023484,0.016473887136347704,0.016473887136347704,0.016473887136347704
AF8,0.016285516285516284,0.017325017325017324,0.017325017325017324,0.016285516285516284,0.016285516285516284,0.017325017325017324,0.017325017325017324,0.015592515592515593,0.01697851697851698,0.016285516285516284,0.015592515592515593,0.016285516285516284,0.01697851697851698,0.016285516285516284,0.016632016632016633,0.016285516285516284,0.01697851697851698,0.0,0.015592515592515593,0.01697851697851698,0.016285516285516284,0.01697851697851698,0.01697851697851698,0.01697851697851698,0.016285516285516284,0.01697851697851698,0.01697851697851698,0.01697851697851698,0.015592515592515593,0.01697851697851698,0.01697851697851698,0.016285516285516284,0.014553014553014554,0.01697851697851698,0.016285516285516284,0.017325017325017324,0.01697851697851698,0.016632016632016633,0.016285516285516284,0.01697851697851698,0.017325017325017324,0.01697851697851698,0.01697851697851698,0.016285516285516284,0.01697851697851698,0.016285516285516284,0.01697851697851698,0.01697851697851698,0.017325017325017324,0.01697851697851698,0.016285516285516284,0.016632016632016633,0.01697851697851698,0.01697851697851698,0.016632016632016633,0.017325017325017324,0.01697851697851698,0.017325017325017324,0.016285516285516284,0.016285516285516284,0.016285516285516284
AF4,0.016493366798135532,0.016851918250268914,0.016851918250268914,0.016493366798135532,0.016493366798135532,0.016851918250268914,0.016851918250268914,0.01613481534600215,0.016851918250268914,0.016493366798135532,0.01613481534600215,0.016493366798135532,0.016851918250268914,0.016493366798135532,0.016851918250268914,0.016493366798135532,0.016851918250268914,0.0,0.01613481534600215,0.016851918250268914,0.016493366798135532,0.016851918250268914,0.016851918250268914,0.016851918250268914,0.016493366798135532,0.016851918250268914,0.016851918250268914,0.016851918250268914,0.01613481534600215,0.016851918250268914,0.016851918250268914,0.016493366798135532,0.015059160989602008,0.016851918250268914,0.016493366798135532,0.016851918250268914,0.016851918250268914,0.016851918250268914,0.016493366798135532,0.016851918250268914,0.016851918250268914,0.016851918250268914,0.016851918250268914,0.016493366798135532,0.016851918250268914,0.016493366798135532,0.016851918250268914,0.016851918250268914,0.016851918250268914,0.016851918250268914,0.016493366798135532,0.016851918250268914,0.016851918250268914,0.016851918250268914,0.016851918250268914,0.016851918250268914,0.016851918250268914,0.016851918250268914,0.016493366798135532,0.016493366798135532,0.016493366798135532
F2,0.016493366798135532,0.016851918250268914,0.016851918250268914,0.016493366798135532,0.016493366798135532,0.016851918250268914,0.016851918250268914,0.01613481534600215,0.016851918250268914,0.016493366798135532,0.01613481534600215,0.016493366798135532,0.016851918250268914,0.016493366798135532,0.016851918250268914,0.016493366798135532,0.016851918250268914,0.0,0.01613481534600215,0.016851918250268914,0.016493366798135532,0.016851918250268914,0.016851918250268914,0.016851918250268914,0.016493366798135532,0.016851918250268914,0.016851918250268914,0.016851918250268914,0.01613481534600215,0.016851918250268914,0.016851918250268914,0.016493366798135532,0.015059160989602008,0.016851918250268914,0.016493366798135532,0.016851918250268914,0.016851918250268914,0.016851918250268914,0.016493366798135532,0.016851918250268914,0.016851918250268914,0.016851918250268914,0.016851918250268914,0.016493366798135532,0.016851918250268914,0.016493366798135532,0.016851918250268914,0.016851918250268914,0.016851918250268914,0.016851918250268914,0.016493366798135532,0.016851918250268914,0.016851918250268914,0.016851918250268914,0.016851918250268914,0.016851918250268914,0.016851918250268914,0.016851918250268914,0.016493366798135532,0.016493366798135532,0.016493366798135532
FCz,0.016493366798135532,0.016851918250268914,0.016851918250268914,0.016493366798135532,0.016493366798135532,0.016851918250268914,0.016851918250268914,0.01613481534600215,0.016851918250268914,0.016493366798135532,0.01613481534600215,0.016493366798135532,0.016851918250268914,0.016493366798135532,0.016851918250268914,0.016493366798135532,0.016851918250268914,0.0,0.01613481534600215,0.016851918250268914,0.016493366798135532,0.016851918250268914,0.016851918250268914,0.016851918250268914,0.016493366798135532,0.016851918250268914,0.016851918250268914,0.016851918250268914,0.01613481534600215,0.016851918250268914,0.016851918250268914,0.016493366798135532,0.015059160989602008,0.016851918250268914,0.016493366798135532,0.016851918250268914,0.016851918250268914,0.016851918250268914,0.016493366798135532,0.016851918250268914,0.016851918250268914,0.016851918250268914,0.016851918250268914,0.016493366798135532,0.016851918250268914,0.016493366798135532,0.016851918250268914,0.016851918250268914,0.016851918250268914,0.016851918250268914,0.016493366798135532,0.016851918250268914,0.016851918250268914,0.016851918250268914,0.016851918250268914,0.016851918250268914,0.016851918250268914,0.016851918250268914,0.016493366798135532,0.016493366798135532,0.016493366798135532
