,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
CP4,0.017384731670445956,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.015873015873015872,0.015873015873015872,0.017384731670445956,0.015873015873015872,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.0,0.015873015873015872,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.015117157974300832,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.017384731670445956,0.016628873771730914,0.015873015873015872,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.015873015873015872,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914
TP8,0.01676829268292683,0.01676829268292683,0.01676829268292683,0.01676829268292683,0.01676829268292683,0.01676829268292683,0.01600609756097561,0.01600609756097561,0.01676829268292683,0.01600609756097561,0.01676829268292683,0.01676829268292683,0.01676829268292683,0.01676829268292683,0.01676829268292683,0.01676829268292683,0.01676829268292683,0.0,0.01600609756097561,0.01676829268292683,0.01676829268292683,0.01676829268292683,0.01676829268292683,0.01676829268292683,0.01524390243902439,0.01676829268292683,0.01676829268292683,0.01676829268292683,0.01676829268292683,0.01676829268292683,0.01676829268292683,0.01676829268292683,0.01600609756097561,0.01676829268292683,0.01676829268292683,0.01676829268292683,0.01676829268292683,0.01676829268292683,0.01676829268292683,0.01676829268292683,0.01676829268292683,0.01676829268292683,0.01676829268292683,0.01676829268292683,0.01676829268292683,0.01676829268292683,0.01676829268292683,0.01676829268292683,0.01676829268292683,0.01676829268292683,0.01676829268292683,0.01600609756097561,0.01676829268292683,0.01676829268292683,0.01676829268292683,0.01676829268292683,0.01676829268292683,0.01676829268292683,0.01676829268292683,0.01676829268292683,0.01676829268292683
C6,0.017384731670445956,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.015873015873015872,0.015873015873015872,0.017384731670445956,0.015873015873015872,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.0,0.015873015873015872,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.015117157974300832,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.017384731670445956,0.016628873771730914,0.015873015873015872,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.015873015873015872,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914
C2,0.017371601208459216,0.017371601208459216,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.017371601208459216,0.015861027190332326,0.015861027190332326,0.017371601208459216,0.015861027190332326,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.0,0.015861027190332326,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.015105740181268883,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.017371601208459216,0.01812688821752266,0.01661631419939577,0.015861027190332326,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.017371601208459216,0.01661631419939577,0.01661631419939577,0.017371601208459216,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.017371601208459216,0.01661631419939577,0.015861027190332326,0.01661631419939577,0.017371601208459216,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.017371601208459216,0.01661631419939577,0.01661631419939577
FC4,0.017384731670445956,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.015873015873015872,0.015873015873015872,0.017384731670445956,0.015873015873015872,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.0,0.015873015873015872,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.015117157974300832,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.017384731670445956,0.016628873771730914,0.015873015873015872,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.015873015873015872,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914
FT8,0.017429193899782137,0.017429193899782137,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.017429193899782137,0.01597676107480029,0.015250544662309368,0.017429193899782137,0.01597676107480029,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.0,0.015250544662309368,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.015250544662309368,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.01597676107480029,0.017429193899782137,0.017429193899782137,0.01670297748729121,0.015250544662309368,0.01670297748729121,0.01597676107480029,0.01670297748729121,0.01670297748729121,0.017429193899782137,0.01670297748729121,0.01670297748729121,0.017429193899782137,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.01597676107480029,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.017429193899782137,0.01670297748729121,0.01597676107480029,0.01670297748729121,0.017429193899782137,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.017429193899782137,0.01670297748729121,0.01670297748729121
F6,0.017384731670445956,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.015873015873015872,0.015873015873015872,0.017384731670445956,0.015873015873015872,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.0,0.015873015873015872,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.015117157974300832,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.017384731670445956,0.016628873771730914,0.015873015873015872,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.015873015873015872,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914
AF8,0.017429193899782137,0.017429193899782137,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.017429193899782137,0.01597676107480029,0.015250544662309368,0.017429193899782137,0.01597676107480029,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.0,0.015250544662309368,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.015250544662309368,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.01597676107480029,0.017429193899782137,0.017429193899782137,0.01670297748729121,0.015250544662309368,0.01670297748729121,0.01597676107480029,0.01670297748729121,0.01670297748729121,0.017429193899782137,0.01670297748729121,0.01670297748729121,0.017429193899782137,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.01597676107480029,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.017429193899782137,0.01670297748729121,0.01597676107480029,0.01670297748729121,0.017429193899782137,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.017429193899782137,0.01670297748729121,0.01670297748729121
AF4,0.017371601208459216,0.017371601208459216,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.017371601208459216,0.015861027190332326,0.015861027190332326,0.017371601208459216,0.015861027190332326,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.0,0.015861027190332326,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.015105740181268883,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.017371601208459216,0.01812688821752266,0.01661631419939577,0.015861027190332326,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.017371601208459216,0.01661631419939577,0.01661631419939577,0.017371601208459216,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.017371601208459216,0.01661631419939577,0.015861027190332326,0.01661631419939577,0.017371601208459216,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.017371601208459216,0.01661631419939577,0.01661631419939577
F2,0.017384731670445956,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.015873015873015872,0.015873015873015872,0.017384731670445956,0.015873015873015872,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.0,0.015873015873015872,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.015117157974300832,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.017384731670445956,0.016628873771730914,0.015873015873015872,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.015873015873015872,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914
FCz,0.017384731670445956,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.015873015873015872,0.015873015873015872,0.017384731670445956,0.015873015873015872,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.0,0.015873015873015872,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.015117157974300832,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.017384731670445956,0.016628873771730914,0.015873015873015872,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.015873015873015872,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914
